1,Czyszczenie i odświeżanie wnętrza,Czyszczenie podłogi i wykładzin,80
2,Czyszczenie i odświeżanie wnętrza,Czyszczenie tapicerki,150
3,Czyszczenie i odświeżanie wnętrza,Czyszczenie i ochrona skóry,300
4,Czyszczenie i odświeżanie wnętrza,Odświeżanie klimatyzacji,50
5,Inne usługi,Czyszczenie silnika,100
6,Inne usługi,Odnowienie reflektorów,100
7,Inne usługi,Ochrona szyb,50
8,Mycie zewnętrzne,Mycie ręczne,50
9,Mycie zewnętrzne,Mycie z użyciem maszyny,30
10,Ochrona lakieru,Nanokompozytowa powłoka ochronna,800
11,Ochrona lakieru,Powłoka ceramiczna,2000
12,Polerowanie i woskowanie,Polerowanie,200
13,Polerowanie i woskowanie,Woskowanie,150